in s,M1 in V
-5.91504E-02,-1.224487E+01
-5.91456E-02,-1.224594E+01
-5.91408E-02,-1.225128E+01
-5.91360E-02,-1.224380E+01
-5.91312E-02,-1.224594E+01
-5.91264E-02,-1.224701E+01
-5.91216E-02,-1.224380E+01
-5.91168E-02,-1.224060E+01
-5.91120E-02,-1.225876E+01
-5.91072E-02,-1.225235E+01
-5.91024E-02,-1.224594E+01
-5.90976E-02,-1.225662E+01
-5.90928E-02,-1.225983E+01
-5.90880E-02,-1.224808E+01
-5.90832E-02,-1.224167E+01
-5.90784E-02,-1.224487E+01
-5.90736E-02,-1.223846E+01
-5.90688E-02,-1.223846E+01
-5.90640E-02,-1.224594E+01
-5.90592E-02,-1.224808E+01
-5.90544E-02,-1.224167E+01
-5.90496E-02,-1.224487E+01
-5.90448E-02,-1.224274E+01
-5.90400E-02,-1.224274E+01
-5.90352E-02,-1.224808E+01
-5.90304E-02,-1.225235E+01
-5.90256E-02,-1.224701E+01
-5.90208E-02,-1.224274E+01
-5.90160E-02,-1.224274E+01
-5.90112E-02,-1.223740E+01
-5.90064E-02,-1.223419E+01
-5.90016E-02,-1.224167E+01
-5.89968E-02,-1.224167E+01
-5.89920E-02,-1.224380E+01
-5.89872E-02,-1.224594E+01
-5.89824E-02,-1.224274E+01
-5.89776E-02,-1.223740E+01
-5.89728E-02,-1.223846E+01
-5.89680E-02,-1.223953E+01
-5.89632E-02,-1.223740E+01
-5.89584E-02,-1.223526E+01
-5.89536E-02,-1.224060E+01
-5.89488E-02,-1.223206E+01
-5.89440E-02,-1.223419E+01
-5.89392E-02,-1.223633E+01
-5.89344E-02,-1.221817E+01
-5.89296E-02,-1.221497E+01
-5.89248E-02,-1.223206E+01
-5.89200E-02,-1.223846E+01
-5.89152E-02,-1.223099E+01
-5.89104E-02,-1.223419E+01
-5.89056E-02,-1.223633E+01
-5.89008E-02,-1.223206E+01
-5.88960E-02,-1.222992E+01
-5.88912E-02,-1.222885E+01
-5.88864E-02,-1.222778E+01
-5.88816E-02,-1.221924E+01
-5.88768E-02,-1.222885E+01
-5.88720E-02,-1.221817E+01
-5.88672E-02,-1.222031E+01
-5.88624E-02,-1.222992E+01
-5.88576E-02,-1.222244E+01
-5.88528E-02,-1.223206E+01
-5.88480E-02,-1.223099E+01
-5.88432E-02,-1.223099E+01
-5.88384E-02,-1.222672E+01
-5.88336E-02,-1.222458E+01
-5.88288E-02,-1.223526E+01
-5.88240E-02,-1.222672E+01
-5.88192E-02,-1.221710E+01
-5.88144E-02,-1.222672E+01
-5.88096E-02,-1.222885E+01
-5.88048E-02,-1.222458E+01
-5.88000E-02,-1.223206E+01
-5.87952E-02,-1.222885E+01
-5.87904E-02,-1.221924E+01
-5.87856E-02,-1.222137E+01
-5.87808E-02,-1.223740E+01
-5.87760E-02,-1.222885E+01
-5.87712E-02,-1.222458E+01
-5.87664E-02,-1.223312E+01
-5.87616E-02,-1.223099E+01
-5.87568E-02,-1.222992E+01
-5.87520E-02,-1.222672E+01
-5.87472E-02,-1.222244E+01
-5.87424E-02,-1.222458E+01
-5.87376E-02,-1.221924E+01
-5.87328E-02,-1.222137E+01
-5.87280E-02,-1.222458E+01
-5.87232E-02,-1.222351E+01
-5.87184E-02,-1.222137E+01
-5.87136E-02,-1.221817E+01
-5.87088E-02,-1.221603E+01
-5.87040E-02,-1.221497E+01
-5.86992E-02,-1.221176E+01
-5.86944E-02,-1.220642E+01
-5.86896E-02,-1.221283E+01
-5.86848E-02,-1.221603E+01
-5.86800E-02,-1.220963E+01
-5.86752E-02,-1.220856E+01
-5.86704E-02,-1.221069E+01
-5.86656E-02,-1.220428E+01
-5.86608E-02,-1.220749E+01
-5.86560E-02,-1.219574E+01
-5.86512E-02,-1.218933E+01
-5.86464E-02,-1.218826E+01
-5.86416E-02,-1.218719E+01
-5.86368E-02,-1.218613E+01
-5.86320E-02,-1.217438E+01
-5.86272E-02,-1.217865E+01
-5.86224E-02,-1.217758E+01
-5.86176E-02,-1.217651E+01
-5.86128E-02,-1.217224E+01
-5.86080E-02,-1.217438E+01
-5.86032E-02,-1.216476E+01
-5.85984E-02,-1.216263E+01
-5.85936E-02,-1.216156E+01
-5.85888E-02,-1.215836E+01
-5.85840E-02,-1.216904E+01
-5.85792E-02,-1.216370E+01
-5.85744E-02,-1.215515E+01
-5.85696E-02,-1.215408E+01
-5.85648E-02,-1.215302E+01
-5.85600E-02,-1.214340E+01
